ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1791728	0.00000721	1.52e-10	1.01e+01	13.06771	1.65	394953809	SLC25A25	solute carrier family 25 member 25
ILMN_1775743	0.00110995	4.69e-08	-7.54	8.22635	-7.50e-01	209447059	BTG1	BTG anti-proliferation factor 1
ILMN_1812777	0.00190401	1.70e-07	7.01	7.09735	6.08e-01	169636426	MRPL35	mitochondrial ribosomal protein L35
ILMN_1800512	0.00190401	2.40e-07	-6.88	6.79302	-2.05	298676487	HMOX1	heme oxygenase 1
ILMN_1794132	0.00190401	2.51e-07	6.86	6.75382	3.33e-01	291490669	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8
ILMN_3235168	0.00190401	2.80e-07	6.82	6.658	5.50e-01	171542820	MUL1	mitochondrial E3 ubiquitin protein ligase 1
ILMN_1704629	0.00190401	2.91e-07	6.80	6.62135	5.50e-01	567316197	SLC1A7	solute carrier family 1 member 7
ILMN_1655612	0.00190401	3.22e-07	-6.76	6.5333	-1.27	18373304	ARRDC2	arrestin domain containing 2
ILMN_2186061	0.00202449	4.20e-07	-6.66	6.29787	-2.44	223941849	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ILMN_1715718	0.00202449	4.28e-07	6.65	6.28101	5.17e-01	42794621	ZNF784	zinc finger protein 784
ILMN_1782069	0.00236083	5.49e-07	6.55	6.05977	2.42e-01	388454106	TRAK1	trafficking kinesin protein 1
ILMN_1676984	0.00302074	7.66e-07	6.42	5.76256	5.50e-01	304282232	DDIT3	DNA damage inducible transcript 3
ILMN_1660847	0.00302074	8.58e-07	-6.38	5.66144	-1.76	223941849	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ILMN_1700896	0.00302074	8.94e-07	-6.36	5.62541	-3.92e-01	91208440	SAP30	Sin3A associated protein 30
ILMN_1782050	0.00309304	9.80e-07	-6.32	5.54274	-2.15	125661056	CEBPD	CCAAT/enhancer binding protein delta
ILMN_1810214	0.00342148	1.16e-06	6.26	5.39395	4.67e-01	558695422	JUND	JunD proto-oncogene, AP-1 transcription factor subunit
ILMN_1685112	0.00342148	1.25e-06	6.23	5.32655	4.08e-01	289802993	TACO1	translational activator of cytochrome c oxidase I
ILMN_1717485	0.00342148	1.36e-06	-6.20	5.25157	-8.75e-01	NA		
ILMN_1708041	0.00342148	1.37e-06	6.19	5.24132	9.42e-01	153791376	PLEKHF1	pleckstrin homology and FYVE domain containing 1
ILMN_1792681	0.00382727	1.62e-06	-6.13	5.09202	-5.50e-01	153791291	CCDC86	coiled-coil domain containing 86
ILMN_1783497	0.00382727	1.70e-06	6.11	5.05142	3.92e-01	328887888	PANK1	pantothenate kinase 1
ILMN_1773117	0.00427852	2.02e-06	-6.05	4.898	-5.92e-01	183396781	BCOR	BCL6 corepressor
ILMN_1697448	0.00427852	2.09e-06	-6.03	4.86711	-1.22	928192547	TXNIP	thioredoxin interacting protein
ILMN_1672004	0.00427852	2.24e-06	6.01	4.80216	1.00	345197214	TOB1	transducer of ERBB2, 1
ILMN_1787567	0.00427852	2.35e-06	-5.99	4.76043	-1.14	345090982	TSC22D1	TSC22 domain family member 1
ILMN_2152429	0.00427852	2.48e-06	-5.97	4.71298	-6.08e-01	756398276	C12orf76	chromosome 12 open reading frame 76
ILMN_1714567	0.00427852	2.52e-06	-5.96	4.6989	-6.08e-01	427918085	AHNAK	AHNAK nucleoprotein
ILMN_1731714	0.00427852	2.53e-06	5.96	4.69354	3.25e-01	757813192	CREB5	cAMP responsive element binding protein 5
ILMN_2234310	0.00474855	2.92e-06	5.90	4.56442	4.92e-01	71274149	CPTP	ceramide-1-phosphate transfer protein
ILMN_1681325	0.00474855	3.01e-06	5.89	4.53798	3.33e-01	NA		
ILMN_1655307	0.00501387	3.28e-06	5.86	4.45966	4.67e-01	189491674	FAM136A	family with sequence similarity 136 member A
ILMN_2262444	0.00501895	3.39e-06	5.85	4.43021	4.75e-01	NA		
ILMN_1780756	0.00551398	3.89e-06	5.79	4.30696	2.25e-01	116734693	RBM23	RNA binding motif protein 23
ILMN_1855278	0.00551398	3.96e-06	-5.79	4.29109	-5.42e-01	8143882		
ILMN_3304111	0.00565748	4.18e-06	-5.77	4.24189	-5.00e-01	NA		
ILMN_1777906	0.00571345	4.47e-06	5.74	4.18302	3.42e-01	556503437	MAP7D1	MAP7 domain containing 1
ILMN_3200330	0.00571345	4.47e-06	5.74	4.18302	3.42e-01	NA		
ILMN_2415144	0.00585195	4.70e-06	-5.72	4.13745	-2.92e-01	190343007	SP110	SP110 nuclear body protein
ILMN_1807044	0.00590257	4.86e-06	5.71	4.1063	3.58e-01	55770883	UBAC1	UBA domain containing 1
ILMN_1815682	0.00644016	5.44e-06	5.67	4.00498	3.25e-01	54607103	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific
ILMN_2182531	0.00674231	5.89e-06	5.64	3.93435	4.17e-01	156142175	TIMM21	translocase of inner mitochondrial membrane 21
ILMN_1771139	0.00674231	6.07e-06	-5.63	3.90715	-3.50e-01	544186105	FBXO31	F-box protein 31
ILMN_1679134	0.00674231	6.13e-06	-5.62	3.89848	-5.42e-01	269846903	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component
ILMN_1803988	0.00688022	6.40e-06	-5.61	3.8595	-3.92e-01	309747064	MCL1	BCL2 family apoptosis regulator
ILMN_2081335	0.007329	6.97e-06	5.57	3.78226	3.33e-01	386642918	COA1	cytochrome c oxidase assembly factor 1 homolog
ILMN_2160764	0.00793015	7.71e-06	-5.54	3.69131	-4.67e-01	47834345	HBP1	HMG-box transcription factor 1
ILMN_3243961	0.00813484	8.08e-06	5.52	3.6489	5.50e-01	190610030	ZNF252P	zinc finger protein 252, pseudogene
ILMN_1801822	0.00817424	8.29e-06	5.51	3.62554	4.75e-01	116292175	C18orf25	chromosome 18 open reading frame 25
ILMN_1715088	0.00827009	8.56e-06	5.50	3.59641	3.83e-01	25952091	KCNA7	potassium voltage-gated channel subfamily A member 7
ILMN_1656225	0.00839145	8.87e-06	5.48	3.56502	3.08e-01	51491913	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1
ILMN_3307791	0.00840451	9.35e-06	5.46	3.51686	3.25e-01	356582443	FAM69A	family with sequence similarity 69 member A
ILMN_2375879	0.00840451	9.47e-06	5.46	3.50562	6.08e-01	284172448	VEGFA	vascular endothelial growth factor A
ILMN_1671265	0.00840451	9.52e-06	5.46	3.5008	4.50e-01	634743237	ING2	inhibitor of growth family member 2
ILMN_1794598	0.00840451	9.93e-06	-5.44	3.46311	-1.04	308193342	SCHIP1	schwannomin interacting protein 1
ILMN_2048607	0.00840451	9.94e-06	5.44	3.46189	6.75e-01	50355986	ANKRD9	ankyrin repeat domain 9
ILMN_1663092	0.00840451	9.95e-06	-5.44	3.46127	-9.00e-01	388890231	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
ILMN_1774427	0.0085754	1.06e-05	-5.42	3.4073	-3.67e-01	219521891	CALCOCO1	calcium binding and coiled-coil domain 1
ILMN_2225974	0.0085754	1.06e-05	-5.42	3.40576	-5.75e-01	821325132	GCLM	glutamate-cysteine ligase modifier subunit
ILMN_1655244	0.0085754	1.07e-05	5.41	3.39474	3.08e-01	NA		
ILMN_1695354	0.0085754	1.09e-05	-5.41	3.38076	-1.58e-01	51558692	BMF	Bcl2 modifying factor
ILMN_1737988	0.00888498	1.15e-05	-5.39	3.33378	-1.22	122056622	PRNP	prion protein
ILMN_1724162	0.008947	1.17e-05	5.38	3.3128	3.58e-01	169790795	ARX	aristaless related homeobox
ILMN_1766000	0.00941313	1.25e-05	-5.35	3.25243	-3.58e-01	444299641	PM20D2	peptidase M20 domain containing 2
ILMN_1805665	0.00946637	1.30e-05	5.34	3.22255	3.58e-01	301129216	FLRT3	fibronectin leucine rich transmembrane protein 3
ILMN_3307738	0.00946637	1.30e-05	5.34	3.21908	1.01	529250157	FSD2	fibronectin type III and SPRY domain containing 2
ILMN_1774077	0.00964698	1.35e-05	-5.33	3.18819	-8.58e-01	520975408	GBP2	guanylate binding protein 2
ILMN_2308849	0.01005811	1.46e-05	5.30	3.11654	7.17e-01	589269134	MYADM	myeloid associated differentiation marker
ILMN_1733562	0.01005811	1.46e-05	5.29	3.11605	3.00e-01	315013580	TFB1M	transcription factor B1, mitochondrial
ILMN_1884146	0.01005811	1.47e-05	5.29	3.11025	2.08e-01	27837981		
